fonte,condicao,lote,n_bits,zeros,uns,p0,p1,vies,ic95_p1_inferior,ic95_p1_superior,entropia_shannon,min_entropia_empirica,autocorrelacao_lag1,numero_runs,runs_p_valor,runs_aprovado_alfa_005,taxa_util
QPU_IBM,sha256_1024_para_256,10,2304,1173,1131,0.5091145833333334,0.4908854166666667,0.009114583333333315,0.4705046794022676,0.5112964968269429,0.9997602811255035,0.9739377034138038,-0.008585368210017073,1162,0.6956749308278467,True,0.2304
QPU_IBM,von_neumann,11,2513,1199,1314,0.4771189812972543,0.5228810187027457,0.022881018702745726,0.5033325742644216,0.5423596164760652,0.998488852252643,0.9354453955583258,-0.02918972207735933,1291,0.14850745902968412,True,0.2513
QPU_IBM,sha256_1024_para_256,11,2304,1145,1159,0.4969618055555556,0.5030381944444444,0.0030381944444444198,0.48263422054870814,0.523432054041555,0.9999733658808837,0.9912601504358407,-0.003076393974564422,1156,0.8990951369173096,True,0.2304
QPU_IBM,von_neumann,12,2497,1253,1244,0.5018021625951141,0.4981978374048859,0.0018021625951141207,0.4786043905211405,0.5177968207718601,0.9999906288386005,0.9948094066063518,-0.0072244746092315374,1258,0.7331592283490324,True,0.2497
QPU_IBM,sha256_1024_para_256,12,2304,1183,1121,0.5134548611111112,0.4865451388888889,0.013454861111111105,0.4661756170575105,0.5069594526141811,0.9994775852874282,0.9616906431025238,0.012768089888318696,1137,0.5270577729050746,True,0.2304
QPU_IBM,von_neumann,13,2520,1266,1254,0.5023809523809524,0.4976190476190476,0.0023809523809523725,0.4781160462018104,0.5171292969800837,0.9999836428515498,0.9931463289589375,-0.0012135126684506138,1262,0.9673051970654672,True,0.252
QPU_IBM,sha256_1024_para_256,13,2304,1151,1153,0.4995659722222222,0.5004340277777778,0.0004340277777777901,0.4800340202812301,0.5208325903745219,0.9999994564498254,0.9987482037905404,0.004774689845016891,1147,0.8025731917016617,True,0.2304
QPU_IBM,von_neumann,14,2527,1294,1233,0.5120696478037198,0.48793035219628017,0.01206964780371983,0.4684744891737941,0.5074228552499754,0.9995796259344841,0.9655880469522677,0.007338927018850127,1254,0.6974525409079155,True,0.2527
QPU_IBM,sha256_1024_para_256,14,2304,1132,1172,0.4913194444444444,0.5086805555555556,0.00868055555555558,0.48826988320859793,0.5290623299064398,0.9997825690340808,0.9751681470200644,0.02098144773133426,1128,0.30407588191998225,True,0.2304
QPU_IBM,von_neumann,15,2540,1269,1271,0.4996062992125984,0.5003937007874015,0.0003937007874015297,0.4809631000046702,0.5198231125138282,0.9999995527635965,0.9988644666545694,0.012208152253497693,1255,0.5254056878773627,True,0.254
QPU_IBM,sha256_1024_para_256,15,2304,1145,1159,0.4969618055555556,0.5030381944444444,0.0030381944444444198,0.48263422054870814,0.523432054041555,0.9999733658808837,0.9912601504358407,-0.026519899540692823,1183,0.21053692941932808,True,0.2304
QPU_IBM,von_neumann,16,2511,1229,1282,0.48944643568299484,0.5105535643170052,0.01055356431700516,0.4910000702920993,0.5300748168798552,0.9996786079655553,0.9698657666527589,0.03303516274928913,1214,0.09392875839611868,True,0.2511
QPU_IBM,sha256_1024_para_256,16,2304,1169,1135,0.5073784722222222,0.4926215277777778,0.00737847222222221,0.4722367342805512,0.5130308845716669,0.999842908317377,0.9788657869106561,-0.0284352181521936,1185,0.17882847957423456,True,0.2304
QPU_IBM,von_neumann,17,2506,1246,1260,0.4972067039106145,0.5027932960893855,0.0027932960893854997,0.4832281500122127,0.5223498915612095,0.9999774866179987,0.9919626809345816,0.005162827640985069,1247,0.7808845935747005,True,0.2506
QPU_IBM,sha256_1024_para_256,17,2304,1160,1144,0.5034722222222222,0.4965277777777778,0.00347222222222221,0.4761347557257523,0.5169323590282328,0.9999652125135791,0.9900159114273779,0.02296649490798208,1126,0.26144463452274735,True,0.2304
QPU_IBM,von_neumann,18,2548,1236,1312,0.4850863422291994,0.5149136577708007,0.01491365777080067,0.4955002938353569,0.5342821206392173,0.9993581444585246,0.9575975576382165,-0.010739236693986453,1287,0.6024144346490626,True,0.2548
QPU_IBM,sha256_1024_para_256,18,2304,1151,1153,0.4995659722222222,0.5004340277777778,0.0004340277777777901,0.4800340202812301,0.5208325903745219,0.9999994564498254,0.9987482037905404,-0.002172781779101734,1155,0.9335432912711839,True,0.2304
QPU_IBM,von_neumann,19,2506,1278,1228,0.509976057462091,0.49002394253790904,0.00997605746209096,0.47048192386499,0.5095964990870743,0.9997128219536087,0.9714985783748662,0.039138311791425295,1204,0.047831879872857044,False,0.2506
